edge_id,start_lat,start_lon,end_lat,end_lon
183830700#1,10.309598528824026,47.73517008323368,10.30956354931906,47.73520062516586
202389988#0,10.314506053848724,47.71546394144721,10.314571552896602,47.71520562738142
202389988#1,10.314572219232868,47.71520296537928,10.314616648285714,47.71503460131393
215369744#0,10.306626807520153,47.73436050496182,10.305265921111845,47.731685103299206
215369744#1,10.30526452260045,47.73168250983734,10.304571595139038,47.72995497852947
215369744#2,10.304571595139038,47.72995497852947,10.30455883370815,47.72980980863663
215370339,10.299059079296413,47.71787016788865,10.299124855102534,47.71797375321247
215372720#0,10.297692960750547,47.71268734310654,10.298447371975218,47.713956998357155
215372720#1,10.298449231690979,47.71395940673184,10.29856286549589,47.71411936225306
215372721,10.299530232989829,47.710740062414054,10.310118301025748,47.70816485369146
215373223#1,10.314929630003224,47.71533118339038,10.314865471691387,47.715504947431306
215373223#2,10.314816191105548,47.71563944525723,10.314475834450727,47.71640924247879
215373225,10.314780318640134,47.71515428698318,10.314709174357127,47.71503448592728
215378441#0,10.31060791542792,47.7237847561302,10.310908459664688,47.723874090596205
215378442,10.311089086418285,47.72361657804702,10.311237125381002,47.72287895273695
218879862#0,10.33064042771282,47.71838019881372,10.330527363661902,47.71823376515354
218879862#1,10.330527363661902,47.71823376515354,10.328361555450993,47.716309833632096
218879863,10.330789549524889,47.71833514464391,10.331329963640703,47.7190313381407
23752170,10.324167048561343,47.715441661342375,10.323837410309718,47.71561858398554
266188641#0,10.310215517490589,47.70817418109659,10.311555710508387,47.70835079345983
268654013,10.322580561982592,47.73396564866373,10.323826467899364,47.73403586088728
268654015,10.324574120532167,47.73430202648794,10.324309431065192,47.734241377008516
268654029#0,10.324052577918003,47.73484485640956,10.324116735392197,47.73457143680244
268654029#1,10.324126165083687,47.734522514751724,10.324126452811903,47.734520711865144
268654031,10.328862966502308,47.72971811258185,10.327485740666962,47.73070316648517
268654033#0,10.326987211646392,47.73083166346943,10.326940720416468,47.73084691258668
268654033#1,10.326937745668461,47.73084793674996,10.326861366328366,47.73087576852754
268654034,10.328759806280887,47.72963675207026,10.33283438620238,47.72449513962628
268654035,10.327384383368965,47.73072422428071,10.327083455993279,47.730800947495595
268654036#0,10.325312734776535,47.73247215636383,10.325243071234963,47.73280156188596
268654037,10.329197761431699,47.72902045624913,10.32893712849056,47.72957441295793
268654038,10.327413084056234,47.730620327141295,10.327968666479972,47.730514472411926
268654039,10.326772971301024,47.7309109824505,10.326533613332519,47.73103845990798
268705443,10.320565425426231,47.71650883630854,10.320522768862977,47.71650392853702
268705444,10.319695745420935,47.716681883652434,10.319905906628565,47.71644030319616
268705445,10.319504299087937,47.71696769789749,10.319678346707935,47.71675847556888
268705450,10.332951689305316,47.72455082333475,10.329225320522601,47.728953103078794
268705452#0,10.332303578182067,47.72052105940285,10.332249886722177,47.7204470006344
268705452#1,10.332248158524283,47.72044459127976,10.331880216248818,47.71998214413753
268705453#0,10.331775336922739,47.719597353495,10.332227476460279,47.72017210642233
268705453#1,10.332227476460279,47.72017210642233,10.33230850661593,47.720275090791176
268705455#0,10.32984608762725,47.71718338020019,10.33046963442645,47.71793548074154
268705455#1,10.33046963442645,47.71793548074154,10.330549968641673,47.7180323559034
268705458,10.332358464909893,47.72033871038235,10.333879751675422,47.723062501161486
268705462,10.331379719583666,47.71909496051444,10.331725382354183,47.71953382358017
268705465,10.321230735379418,47.71543529080095,10.320748521904301,47.71555534033485
268705469,10.32150290970643,47.71537933889699,10.32133071692698,47.715413624329
268705472,10.322820751114305,47.71520399105413,10.321602145222691,47.71536244964566
268705477,10.332566168947006,47.7208677566344,10.332351216545758,47.720585200815066
268705481,10.331829278621502,47.71991930052144,10.33068845849489,47.71844420141251
268705486,10.319374331880457,47.715712146859026,10.319835470197035,47.715625862566746
268705491,10.316072512987285,47.71556664572783,10.315560816621268,47.715408482938365
268705497#0,10.333630763503102,47.72382796331705,10.333536691657889,47.72395619630299
268705497#1,10.333534919488882,47.72395860132979,10.333465691551572,47.724053185981745
268705502,10.329002414025473,47.71650666381515,10.329792814064575,47.71712546656829
268705506#0,10.332891308943863,47.72443954652518,10.3331712129142,47.72414692382247
268705506#1,10.333174980220186,47.72414301097464,10.3332581966219,47.724049186238986
268705510#0,10.315405952275764,47.71537125276597,10.315066506116967,47.71529204861553
268705513,10.333609177605624,47.72358963619427,10.33261636835476,47.72093033855522
268705517#1,10.317768649575394,47.71591820472671,10.316166421412367,47.71559755591816
268747283,10.313763300216905,47.71071667461764,10.313286345343228,47.710274311232986
268747284,10.313822283934337,47.709707338643554,10.313772231721458,47.70977656548251
268747286#0,10.312523038907308,47.70929701465269,10.313148954647449,47.70993697919429
268747288,10.314364936555869,47.71147797668027,10.31413151773321,47.71115537764158
268747291#0,10.313710069696896,47.70985992263465,10.313450797113909,47.71000406747383
268747293,10.314081539670587,47.71109238015269,10.31382130745289,47.71077692593774
268747298,10.31236969569657,47.710373473636324,10.312705758434314,47.71022386381022
268850603,10.312401551441408,47.70936975741958,10.311794363909286,47.70866532988647
268850604#0,10.311721648809822,47.70854073098034,10.311686181317965,47.70848202048029
27449139,10.307843609879832,47.73629143241843,10.307915167612418,47.73611830848544
27558433,10.315876065484726,47.7286570773159,10.3158742329504,47.72865844800703
27558436,10.307918867828858,47.73611160791972,10.308909931261827,47.735501411961714
27670260,10.314186764247815,47.7163744028817,10.313706310646449,47.71624457714212
28874806,10.312397832045722,47.73694355914595,10.312464325284994,47.736885257535526
29043801,10.312953603906662,47.73660000776964,10.312967868371375,47.73666336919228
293233992,10.311110145892092,47.72224533587367,10.31112399134589,47.72236664857541
